"product_number","product_name","product_base","order_date","units","gross_revenue_incl_gst","net_revenue_ex_gst","effective_cogs","gateway_fee","rto_cost","meta_spend","meta_purchases","net_profit","status"
1,"FluffMist Pet Brush","TH-037-MISTBRU","2026-05-03",2,1798,1523.73,383.06,44.96,0,0,0,1095.71,"PROFIT"
1,"FluffMist Pet Brush","TH-037-MISTBRU","2026-05-05",1,899,761.86,191.53,22.48,0,0,0,547.85,"PROFIT"
1,"FluffMist Pet Brush","TH-037-MISTBRU","2026-05-17",1,899,761.86,191.53,22.48,0,0,0,547.85,"PROFIT"
1,"FluffMist Pet Brush","TH-037-MISTBRU","2026-05-20",1,999,846.61,310.95,24.98,0,0,0,510.68,"PROFIT"
1,"FluffMist Pet Brush","TH-037-MISTBRU","2026-05-25",0,0,0,0,0,0,364.24,0,-364.24,"LOSS"
1,"FluffMist Pet Brush","TH-037-MISTBRU","2026-05-26",1,999,846.61,310.95,24.98,0,0,0,510.68,"PROFIT"
1,"FluffMist Pet Brush","TH-037-MISTBRU","2026-05-31",1,999,846.61,310.95,24.98,0,0,0,510.68,"PROFIT"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-01",40,102960,87254.24,47451.2,2574.2,702,37779.25,45,-1252.41,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-02",28,72972,61840.68,33710.84,1824.44,585,26753.17,21,-1032.77,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-03",41,97959,83016.1,44471.23,2449.18,468,38262.82,44,-2635.13,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-04",17,38983,33036.44,17540.51,974.66,0,37775.66,20,-23254.39,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-05",17,44983,38121.19,20840.51,1124.66,0,32695.01,23,-16538.99,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-06",12,35988,30498.31,17040.36,899.76,0,20536.89,14,-7978.7,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-07",17,50983,43205.93,24140.51,1274.66,0,23240.75,20,-5449.99,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-08",20,59980,50830.51,28400.6,1499.6,234,25755.27,19,-5058.96,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-09",6,17994,15249.15,8520.18,449.88,0,21650.73,9,-15371.64,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-10",14,41986,35581.36,19880.42,1049.72,234,26835.15,16,-12417.93,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-11",10,29990,25415.25,14200.3,749.8,0,22588.91,13,-12123.76,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-12",13,34987,29650,16260.39,874.74,117,16042.12,14,-3644.25,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-13",21,56979,48287.29,26520.63,1424.58,234,24452.48,34,-4344.4,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-14",8,24992,21179.66,11160.24,799.84,117,15987.7,10,-6885.12,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-15",7,22993,19485.59,7015.21,574.86,0,9073.14,4,2822.38,"PROFIT"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-16",3,10997,9319.49,3635.09,274.94,0,9289.35,5,-3879.89,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-17",3,10997,9319.49,3635.09,274.94,117,9302.6,3,-4010.14,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-18",2,6998,5930.51,2240.06,174.96,0,2807.59,2,707.9,"PROFIT"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-19",10,32490,27533.9,16850.1,749.8,0,12467.12,16,-2533.12,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-20",8,22992,19484.75,12510.08,574.84,117,11813.49,11,-5530.66,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-21",24,67976,57606.78,36560.24,1699.52,702,15063.73,28,3581.29,"PROFIT"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-22",19,58481,49560.17,33470.19,1462.12,234,14092.13,23,301.73,"PROFIT"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-23",11,30489,25838.14,16110.11,762.28,0,15246.2,12,-6280.45,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-24",11,31489,26685.59,17080.11,787.28,117,16975.46,20,-8274.26,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-25",7,17493,14824.58,8400.07,437.36,117,5451.33,5,418.82,"PROFIT"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-26",11,31489,26685.59,17080.11,787.28,0,8306.01,19,512.19,"PROFIT"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-27",9,24491,20755.08,12740.09,612.32,0,11021.62,14,-3618.95,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-28",4,9996,8471.19,4800.04,249.92,0,6948.87,6,-3527.64,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-29",10,26990,22872.88,13940.1,674.8,117,11296.84,17,-3155.86,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-30",0,0,0,0,0,0,3594.64,2,-3594.64,"LOSS"
2,"AvoCool Gel Mat (L/XL)","TH-368-AVOCOOLMAT","2026-05-31",5,16495,13978.81,9880.05,412.4,0,4127.51,2,-441.15,"LOSS"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-02",1,2099,1778.81,648.53,52.48,0,0,0,1077.8,"PROFIT"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-03",2,4498,3811.86,1400.56,112.46,0,0,0,2298.84,"PROFIT"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-04",1,2299,1948.31,717.53,57.48,0,0,0,1173.3,"PROFIT"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-05",2,4798,4066.1,1427.06,119.96,0,0,0,2519.08,"PROFIT"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-06",1,2299,1948.31,717.53,57.48,0,0,0,1173.3,"PROFIT"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-08",0,0,0,0,0,0,345.21,0,-345.21,"LOSS"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-09",1,2299,1948.31,717.53,57.48,117,934.68,0,121.62,"PROFIT"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-10",2,4698,3981.36,1392.56,117.46,0,1544.4,0,926.94,"PROFIT"
3,"SnugSole Boots","TH-012-SNUGBOO","2026-05-12",2,4798,4066.1,1427.06,119.96,234,0,0,2285.08,"PROFIT"
