report_date,city,state,season,product_name,campaign_name,adset_name,orders_7d,attributed_revenue,effective_city_spend,roas,opportunity_score,recommended_action,budget_modifier,broad_discovery_flag,reason
2026-06-23,Thane,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,12,4235.6,804.04,5.2679,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 5.27x (target 2.5x), 12 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,Pune,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,13,12706.79,2224.91,5.7111,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 5.71x (target 2.5x), 13 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,WildTrail Boots,TH-068-WILD-16JUNE,Urban Pet Parent,3,2117.8,343.56,6.1643,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 6.16x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,Thane,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,12,4235.6,804.04,5.2679,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 5.27x (target 2.5x), 12 orders last 7d, stock OK, season=Monsoon."
2026-06-23,South 24 Parganas,West Bengal,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,3,4235.6,616.83,6.8667,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 6.87x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Pune,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,13,12706.79,2224.91,5.7111,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 5.71x (target 2.5x), 13 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,WildTrail Boots,TH-068-WILD-16JUNE,Urban Pet Parent,3,2117.8,343.56,6.1643,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 6.16x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Kolkata,West Bengal,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,3,4145.44,616.83,6.7206,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 6.72x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Indore,Madhya Pradesh,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,4,4235.6,616.83,6.8667,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 6.87x (target 2.5x), 4 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Bangalore,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,4,2117.8,308.41,6.8668,100.0,SCALE,1.25,1,"Opportunity score 100, ROAS 6.87x (target 2.5x), 4 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Bengaluru,Karnataka,Monsoon,Pawveralls Suspender Boots,TH-012-SNUGBOO-19JUN,ICP Pet Parents,4,2117.8,314.52,6.7334,98.33,SCALE,1.25,1,"Opportunity score 98, ROAS 6.73x (target 2.5x), 4 orders last 7d, stock OK, season=Monsoon."
2026-06-23,Mumbai Subueban,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,12,2117.8,495.63,4.2729,96.36,SCALE,1.25,1,"Opportunity score 96, ROAS 4.27x (target 2.5x), 12 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,MUMBAI,Maharashtra,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,5,2117.8,495.63,4.2729,96.36,SCALE,1.25,1,"Opportunity score 96, ROAS 4.27x (target 2.5x), 5 orders last 7d, stock OK, season=Monsoon, weather=RAIN_ACTIVE."
2026-06-23,Kolkata,West Bengal,Monsoon,Pawveralls Suspender Boots,TH-383-SUSPENDER-20JUNE,Broad Advantage+,3,4145.44,616.83,6.7206,96.25,SCALE,1.25,1,"Opportunity score 96, ROAS 6.72x (target 2.5x), 3 orders last 7d, stock OK, season=Monsoon, weather=RAIN_EMERGING."
