season,product_name,sku,variant,price_inr,compare_at_price_inr,stock_quantity,stock_status,can_advertise,cogs_per_item_inr,gross_margin_pct,gross_margin_per_unit_inr,total_variable_cost_inr,shipping_cost_inr,packaging_cost_inr,payment_gateway_fee_inr,rto_inr,data_source_date
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BLUE-S,Blue / S,1999,,18,LOW,MONITOR,340,79.93,1659,658.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BLUE-M,Blue / M,1999,,19,LOW,MONITOR,360,78.75,1639,678.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BLUE-L,Blue / L,1999,,19,LOW,MONITOR,380,77.57,1619,698.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BLUE-XL,Blue / XL,1999,,18,LOW,MONITOR,400,76.39,1599,718.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BLUE-XXL,Blue / 2XL,1999,,20,LOW,MONITOR,420,75.21,1579,738.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BLUE-XXXL,Blue / 3XL,1999,,20,LOW,MONITOR,440,74.03,1559,758.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BLUE-XXXXL,Blue / 4XL,1999,,17,LOW,MONITOR,460,72.85,1539,778.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BLUE-XXXXXL,Blue / 5XL,1999,,18,LOW,MONITOR,480,71.67,1519,798.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BROWN-S,Brown / S,1999,,20,LOW,MONITOR,340,79.93,1659,658.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BROWN-M,Brown / M,1999,,20,LOW,MONITOR,360,78.75,1639,678.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BROWN-L,Brown / L,1999,,19,LOW,MONITOR,380,77.57,1619,698.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BROWN-XL,Brown / XL,1999,,19,LOW,MONITOR,400,76.39,1599,718.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BROWN-XXL,Brown / 2XL,1999,,20,LOW,MONITOR,420,75.21,1579,738.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BROWN-XXXL,Brown / 3XL,1999,,20,LOW,MONITOR,440,74.03,1559,758.98,117,10,74.98,117,2026-06-19
Monsoon,Rover Raincoat,TH-372-ROVERAINCOAT-BROWN-XXXXL,Brown / 4XL,1999,,20,LOW,MONITOR,460,72.85,1539,778.98,117,10,74.98,117,2026-06-19
